time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-10-16T10:20:49.740Z,40.3156667,-124.0548333,31.06,4.83,mw,45,52,0.0472,0.12,nc,nc73947830,2023-10-19T07:10:02.340Z,"20 km E of Petrolia, CA",earthquake,0.27,0.59,,4,reviewed,nc,nc
2023-09-30T15:26:26.760Z,40.5588333,-124.2886667,17.88,4.65,mw,45,166,0.02573,0.2,nc,nc73943821,2023-10-19T01:01:54.273Z,"3 km SW of Ferndale, CA",earthquake,0.44,0.29,,5,reviewed,nc,nc
2023-09-19T04:13:10.380Z,37.4381667,-121.2958333,3.51,4.53,mw,174,91,0.05369,0.18,nc,nc73938736,2023-10-19T02:48:54.324Z,"15 km SW of Westley, CA",earthquake,0.17,0.5,,5,reviewed,nc,nc
2023-09-08T17:24:38.390Z,40.953,-121.56,15.63,4.99,mw,41,33,0.08699,0.12,nc,nc73934641,2023-10-20T17:34:58.382Z,"12 km NE of Burney, CA",earthquake,0.2,0.56,,4,reviewed,nc,nc
2023-08-20T21:41:00.970Z,34.4085,-119.1883333,4.84,5.08,mw,115,27,0.05069,0.35,ci,ci39645386,2023-10-19T01:39:12.693Z,"7 km SE of Ojai, CA",earthquake,0.25,0.69,,6,reviewed,ci,ci
2023-07-19T07:34:23.821Z,39.5107,-116.5364,3.7,4.5,mw,8,46.24,0.842,0.4058,nn,nn00862970,2023-09-28T21:33:47.040Z,"45 km E of Austin, Nevada",earthquake,,9.7,,,reviewed,nn,nn
2023-07-16T19:16:05.100Z,31.5663333,-114.4146667,5.97,4.57,mw,14,127,0.4826,0.33,ci,ci39614322,2023-09-28T21:33:31.040Z,"89km SE of Estacion Coahuila, B.C., MX",earthquake,0.53,31.61,,6,reviewed,ci,ci
2023-05-14T15:18:15.416Z,30.9225,-116.4154,10,4.5,mwr,109,180,0.443,0.75,us,us6000kbvb,2023-07-24T01:16:58.040Z,"24 km W of Las Brisas, Mexico",earthquake,5.25,1.855,0.031,102,reviewed,us,us
2023-05-12T10:18:41.310Z,40.196,-121.0998333,6.06,5.16,mw,49,37,0.06232,0.19,nc,nc73887046,2023-07-22T19:17:00.040Z,"4km NW of Canyondam, CA",earthquake,0.29,0.66,,4,reviewed,nc,nc
2023-05-11T23:19:41.990Z,40.2041667,-121.1095,5.85,5.48,mw,54,46,0.05144,0.16,nc,nc73886731,2023-10-19T23:29:47.393Z,"Lake Almanor Earthquake",earthquake,0.26,0.56,,4,reviewed,nc,nc
